date,location,injured_killed,count
2013-09-20T00:00:00Z,"Rice, TX",killed,5
2013-09-20T00:00:00Z,"Long Beach, CA",killed,2
2013-09-21T00:00:00Z,"Palm Springs, FL",killed,0
2013-09-22T00:00:00Z,"Witchita, KA",killed,1
2013-09-22T00:00:00Z,"St. Louis, MO",killed,1
2013-09-22T00:00:00Z,"Muskegon, MI",killed,3
2013-09-24T00:00:00Z,"Huntington, WV",killed,0
2013-09-25T00:00:00Z,"Haw River, NC",killed,0
2013-09-26T00:00:00Z,"Jacksonville, FL",killed,0
2013-09-27T00:00:00Z,"Ashville, PA",killed,4
2013-09-29T00:00:00Z,"Zanesville, OH",killed,0
2013-09-29T00:00:00Z,"Chicago, IL",killed,1
2013-10-02T00:00:00Z,"Double Springs, AL",killed,4
2013-10-02T00:00:00Z,"Omaha, NE",killed,0
2013-10-05T00:00:00Z,"Fresno, CA",killed,1
2013-10-06T00:00:00Z,"Avondale, AZ",killed,0
2013-10-06T00:00:00Z,"Phillidelphia, PA",killed,1
2013-10-06T00:00:00Z,"Buffalo, NY",killed,0
2013-10-09T00:00:00Z,"Paris, TX",killed,4
2013-10-12T00:00:00Z,"Tulsa, OK",killed,2
2013-10-12T00:00:00Z,"Tulsa, OK",killed,0
2013-10-13T00:00:00Z,"Harrisburg, PA",killed,0
2013-10-18T00:00:00Z,"Margate, FL",killed,0
2013-10-20T00:00:00Z,"Reno, NV",killed,2
2013-10-20T00:00:00Z,"Pittsburgh, PA",killed,2
2013-10-20T00:00:00Z,"Las Vegas, NV",killed,1
2013-10-20T00:00:00Z,"Miami-Dade, FL",killed,2
2013-10-26T00:00:00Z,"Miami Gardens, FL",killed,0
2013-10-26T00:00:00Z,"New Haven, CT",killed,1
2013-10-26T00:00:00Z,"Ridgecrest, CA",killed,1
2013-10-26T00:00:00Z,"Phonix, AZ",killed,5
2013-10-27T00:00:00Z,"Sacramento, CA",killed,1
2013-10-27T00:00:00Z,"Vallejo, CA",killed,1
2013-10-27T00:00:00Z,"Beaumont, TX",killed,0
2013-10-27T00:00:00Z,"Albuquerque, NM",killed,0
2013-10-27T00:00:00Z,"Roseville, CA",killed,0
2013-10-27T00:00:00Z,"Southern Pines, NC",killed,1
2013-10-28T00:00:00Z,"Terrell, TX",killed,5
2013-10-29T00:00:00Z,"Callison, SC",killed,6
2013-10-31T00:00:00Z,"Fayetteville, NC",killed,2
2013-11-02T00:00:00Z,"Radcliff, KY",killed,1
2013-11-03T00:00:00Z,"Los Angeles, CA",killed,1
2013-11-04T00:00:00Z,"Perris, CA",killed,0
2013-11-05T00:00:00Z,"Fresno, CA",killed,1
2013-11-05T00:00:00Z,"Washington, DC",killed,0
2013-11-05T00:00:00Z,"Detroit, MI",killed,3
2013-11-07T00:00:00Z,"Jacksonville, FL",killed,4
2013-11-09T00:00:00Z,"Cyprus, TX",killed,2
2013-11-09T00:00:00Z,"Phoenix, AZ",killed,1
2013-11-10T00:00:00Z,"Canton, OH",killed,1
2013-11-10T00:00:00Z,"Brooklyn, NY",killed,4
2013-11-12T00:00:00Z,"Phoenix, AZ",killed,4
2013-11-17T00:00:00Z,"Houston, TX",killed,1
2013-11-20T00:00:00Z,"Houston, TX",killed,3
2013-11-20T00:00:00Z,"Miami-Dade, FL",killed,3
2013-11-21T00:00:00Z,"Philadelphia, PA",killed,0
2013-11-22T00:00:00Z,"Columbus, OH",killed,2
2013-11-23T00:00:00Z,"Parsons, KA",killed,4
2013-11-23T00:00:00Z,"Tulsa, OK",killed,4
2013-11-24T00:00:00Z,"Oakland, CA",killed,0
2013-11-24T00:00:00Z,"Minneapolis, MN",killed,1
2013-11-28T00:00:00Z,"Rochester, NY",killed,0
2013-11-29T00:00:00Z,"Fresno, CA",killed,0
2013-11-29T00:00:00Z,"Indianapolis, IN",killed,0
2013-11-30T00:00:00Z,"Lansing, MI",killed,0
2013-11-30T00:00:00Z,"Valdosta, GA",killed,0
2013-12-01T00:00:00Z,"Topeka, KA",killed,4
2013-12-01T00:00:00Z,"Miami, FL",killed,2
2013-12-02T00:00:00Z,"Gary, IN",killed,1
2013-12-03T00:00:00Z,"Alma, AL",killed,4
2013-12-03T00:00:00Z,"Louisville, KY",killed,0
2013-12-03T00:00:00Z,"Erwin, TN",killed,4
2013-12-07T00:00:00Z,"Wilmington, DE",killed,0
2013-12-08T00:00:00Z,"Manchester, CT",killed,4
2013-12-09T00:00:00Z,"Miami-Dade, FL",killed,2
2013-12-13T00:00:00Z,"Huntington, WV",killed,1
2013-12-14T00:00:00Z,"Statesville, NC",killed,0
2013-12-15T00:00:00Z,"Florida City, FL",killed,1
2013-12-15T00:00:00Z,"Channelview, TX",killed,0
2013-12-17T00:00:00Z,"Reno, NV",killed,2
2013-12-21T00:00:00Z,"Trenton, NJ",killed,1
2013-12-22T00:00:00Z,"Shelby, NC",killed,0
2013-12-22T00:00:00Z,"Fruitland Township, MI",killed,1
2013-12-25T00:00:00Z,"Medford, NY",killed,1
2013-12-25T00:00:00Z,"Irvington, NJ",killed,3
2013-12-26T00:00:00Z,"Slidell, LA",killed,1
2013-12-26T00:00:00Z,"Raceland, LA",killed,4
2013-12-29T00:00:00Z,"Miami-Dade, FL",killed,2
2013-12-29T00:00:00Z,"Montgomery, AL",killed,2
2013-12-30T00:00:00Z,"Pleasant Valley, NY",killed,4
2013-12-31T00:00:00Z,"Brooklyn, NY",killed,0
2013-12-31T00:00:00Z,"Fontana, CA",killed,4
2013-12-31T00:00:00Z,"Barberton, OH",killed,2
2014-01-01T00:00:00Z,"Norfolk, VA",killed,2
2014-01-03T00:00:00Z,"New York (Queens), NY",killed,1
2014-01-04T00:00:00Z,"Rock Falls, IL",killed,2
2014-01-05T00:00:00Z,"Erie, OH",killed,1
2014-01-05T00:00:00Z,"Atlanta, Ga",killed,0
2014-01-12T00:00:00Z,"Elgin, Il",killed,0
2014-01-12T00:00:00Z,"Huntsville, AL",killed,0
2014-01-12T00:00:00Z,"Portland, OR",killed,0
2014-01-14T00:00:00Z,"Los Angeles, CA",killed,0
2014-01-16T00:00:00Z,"Ardmore, OK",killed,1
2014-01-16T00:00:00Z,"Fresno, CA",killed,2
2014-01-16T00:00:00Z,"Spanish Fork, UT",killed,5
2014-01-20T00:00:00Z,"Manassas, VA",killed,0
2014-01-21T00:00:00Z,"Newark, NJ",killed,2
2014-01-25T00:00:00Z,"Belle Glade, FL",killed,0
2014-01-25T00:00:00Z,"Chicago, IL",killed,1
2014-01-27T00:00:00Z,"Rocky Mount, NC",killed,0
2014-01-27T00:00:00Z,"Seattle, WA",killed,1
2014-01-28T00:00:00Z,"Baltimore, MD",killed,3
2014-01-28T00:00:00Z,"Milwaukee, WI",killed,0
2014-02-02T00:00:00Z,"Franklin, IL",killed,3
2014-02-03T00:00:00Z,"Cypress, TX",killed,4
2014-02-05T00:00:00Z,"Perry, FL",killed,1
2014-02-06T00:00:00Z,"Chicago, IL",killed,1
2014-02-06T00:00:00Z,"Defiance, OH",killed,4
2014-02-07T00:00:00Z,"New Orleans, LA",killed,0
2014-02-12T00:00:00Z,"Gary, IN",killed,0
2014-02-12T00:00:00Z,"Oakland, CA",killed,1
2014-02-12T00:00:00Z,"Stockton, Ca",killed,1
2014-02-15T00:00:00Z,"Las Vegas, NV",killed,0
2014-02-15T00:00:00Z,"Fort Wayne, In",killed,0
2014-02-16T00:00:00Z,"Saginaw, Mi",killed,1
2014-02-16T00:00:00Z,"Fort Worth, Tx",killed,1
2014-02-16T00:00:00Z,"Jacksonville, Fl",killed,1
2014-02-16T00:00:00Z,"Dallas, Tx",killed,1
2014-02-16T00:00:00Z,"Pine Hills, FL",killed,1
2014-02-18T00:00:00Z,"Fort Lauderdale, Fl",killed,0
2014-02-20T00:00:00Z,"Alturas, Ca",killed,4
2014-02-20T00:00:00Z,"Indianapolis, IN",killed,4
2014-02-23T00:00:00Z,"Wilmington, CA",killed,0
2014-02-24T00:00:00Z,"Glade Spring, VA",killed,4
2014-02-26T00:00:00Z,"Oak Lawn, IL",killed,4
2014-03-01T00:00:00Z,"Pittsburgh, PA",killed,1
2014-03-03T00:00:00Z,"Detroit, Mi",killed,0
2014-03-05T00:00:00Z,"Pelzer, NC",killed,3
2014-03-08T00:00:00Z,"Richmond, Ca",killed,1
2014-03-09T00:00:00Z,"Milwaukee, WI",killed,0
2014-03-09T00:00:00Z,"Chicago, IL",killed,0
2014-03-09T00:00:00Z,"Fremont, OH",killed,3
2014-03-14T00:00:00Z,"Brooklyn, NY",killed,0
2014-03-16T00:00:00Z,"Beaumont, TX",killed,3
2014-03-16T00:00:00Z,"Waynsboro, GA",killed,0
2014-03-22T00:00:00Z,"Sikeston, Mo",killed,0
2014-03-22T00:00:00Z,"North Charlston, SC",killed,0
2014-03-23T00:00:00Z,"Arlington, TX",killed,1
2014-03-24T00:00:00Z,"San Francisco, CA",killed,0
2014-03-24T00:00:00Z,"Long Beach, CA",killed,1
2014-03-30T00:00:00Z,"Starkville, MS",killed,0
2014-03-30T00:00:00Z,"Charlotte, NC",killed,0
2014-04-03T00:00:00Z,"Kileen, TX",killed,4
2014-04-04T00:00:00Z,"Detroit, Mi",killed,0
2014-04-05T00:00:00Z,"Chicago, Il",killed,1
2014-04-05T00:00:00Z,"Phoenix, Az",killed,1
2014-04-05T00:00:00Z,"Fairfield, Ca",killed,0
2014-04-06T00:00:00Z,"Oklahoma City, Ok",killed,0
2014-04-06T00:00:00Z,"Springfield, Ma",killed,0
2014-04-07T00:00:00Z,"New Orleans, LA",killed,0
2014-04-09T00:00:00Z,"Rockford, IL",killed,0
2014-04-10T00:00:00Z,"Arlington, TX",killed,1
2014-04-11T00:00:00Z,"Richmond, IN",killed,0
2014-04-12T00:00:00Z,"New Orleans, LA",killed,1
2014-04-13T00:00:00Z,"Lookout Valley, TN",killed,3
2014-04-14T00:00:00Z,"Washington, DC",killed,0
2014-04-14T00:00:00Z,"Vineland, NJ",killed,1
2014-04-17T00:00:00Z,"Nashville, TN",killed,0
2014-04-20T00:00:00Z,"Chicago, Il",killed,0
2014-04-20T00:00:00Z,"Tampa Bay, FL",killed,2
2014-04-20T00:00:00Z,"Mankato, MN",killed,1
2014-04-20T00:00:00Z,"Montgomory, IL",killed,0
2014-04-24T00:00:00Z,"Houston, TX",killed,1
2014-04-25T00:00:00Z,"Memphis, TN",killed,2
2014-04-27T00:00:00Z,"Rome, GA",killed,1
2014-04-27T00:00:00Z,"Troy, NY",killed,0
2014-04-29T00:00:00Z,"Cobb County, GA",killed,1
2014-04-30T00:00:00Z,"Chicago, Il",killed,0
2014-05-03T00:00:00Z,"Jonesboro, AR",killed,4
2014-05-03T00:00:00Z,"Houston, TX",killed,0
2014-05-05T00:00:00Z,"Fort Bend County, TX",killed,2
2014-05-05T00:00:00Z,"Chicago, Il",killed,0
2014-05-05T00:00:00Z,"Wheat Ridge, CO",killed,0
2014-05-09T00:00:00Z,"Tampa, FL",killed,4
2014-05-09T00:00:00Z,"Pomona, CA",killed,4
2014-05-10T00:00:00Z,"Sacramento, CA",killed,1
2014-05-10T00:00:00Z,"DeKalb, GA",killed,1
2014-05-10T00:00:00Z,"Memphis, TN",killed,0
2014-05-11T00:00:00Z,"Kileen, TX",killed,1
2014-05-11T00:00:00Z,"DeKalb, GA",killed,2
2014-05-12T00:00:00Z,"Chicago, Il",killed,0
2014-05-13T00:00:00Z,"Atlanta, GA",killed,0
2014-05-17T00:00:00Z,"Washington, DC",killed,0
2014-05-18T00:00:00Z,"Cobb County, GA",killed,2
2014-05-18T00:00:00Z,"Sandusky, OH",killed,0
