date,steps,type
7/2/2014,11953,iOS
7/1/2014,3388,iOS
6/30/2014,8835,iOS
6/29/2014,3634,iOS
6/28/2014,2953,iOS
6/27/2014,4133,iOS
6/26/2014,8011,iOS
6/25/2014,8629,iOS
6/24/2014,5234,iOS
6/23/2014,7129,iOS
6/22/2014,9020,iOS
6/21/2014,11713,iOS
6/20/2014,4608,iOS
6/19/2014,9531,iOS
6/18/2014,8183,iOS
6/17/2014,8683,iOS
6/16/2014,5484,iOS
6/13/2014,0,iOS
6/12/2014,9549,iOS
6/11/2014,8364,iOS
6/10/2014,6867,iOS
6/9/2014,8799,iOS
6/8/2014,7057,iOS
6/7/2014,16597,iOS
6/6/2014,12894,iOS
6/5/2014,12199,iOS
6/4/2014,12608,iOS
6/3/2014,12913,iOS
6/2/2014,14562,iOS
6/1/2014,13889,iOS
5/31/2014,5796,iOS
5/30/2014,8908,iOS
5/29/2014,8624,iOS
5/28/2014,9412,iOS
5/27/2014,5946,iOS
5/26/2014,20588,iOS
5/25/2014,5587,iOS
5/24/2014,4346,iOS
5/23/2014,8706,iOS
5/22/2014,10676,iOS
5/21/2014,8339,iOS
5/20/2014,6143,iOS
5/19/2014,9793,iOS
5/18/2014,7058,iOS
5/17/2014,4545,iOS
5/16/2014,10629,iOS
5/15/2014,4284,iOS
5/14/2014,9507,iOS
5/13/2014,9923,iOS
5/12/2014,8759,iOS
