date,killed,injured,location
4/3/2014,4,16,"Kileen, TX"
4/4/2014,0,4,"Detroit, Mi"
4/5/2014,1,5,"Chicago, Il"
4/5/2014,1,3,"Phoenix, Az"
4/5/2014,0,4,"Fairfield, Ca"
4/6/2014,0,4,"Oklahoma City, Ok"
4/6/2014,0,4,"Springfield, Ma"
4/7/2014,0,4,"New Orleans, LA"
4/9/2014,0,5,"Rockford, IL"
4/10/2014,1,3,"Arlington, TX"
4/11/2014,0,4,"Richmond, IN"
4/12/2014,1,3,"New Orleans, LA"
4/13/2014,3,1,"Lookout Valley, TN"
4/14/2014,0,4,"Washington, DC"
4/14/2014,1,3,"Vineland, NJ"
4/17/2014,0,4,"Nashville, TN"
4/20/2014,0,5,"Chicago, Il"
4/20/2014,2,2,"Tampa Bay, FL"
4/20/2014,1,3,"Mankato, MN"
4/20/2014,0,6,"Montgomory, IL"
4/24/2014,1,3,"Houston, TX"
4/25/2014,2,3,"Memphis, TN"
4/27/2014,1,3,"Rome, GA"
4/27/2014,0,5,"Troy, NY"
4/29/2014,1,6,"Cobb County, GA"
4/30/2014,0,4,"Chicago, Il"
5/3/2014,4,4,"Jonesboro, AR"
5/3/2014,0,4,"Houston, TX"
5/5/2014,2,2,"Fort Bend County, TX"
5/5/2014,0,4,"Chicago, Il"
5/5/2014,0,4,"Wheat Ridge, CO"
5/9/2014,4,0,"Tampa, FL"
5/9/2014,4,0,"Pomona, CA"
5/10/2014,1,6,"Sacramento, CA"
5/10/2014,1,3,"DeKalb, GA"
5/10/2014,0,7,"Memphis, TN"
5/11/2014,1,3,"Kileen, TX"
5/11/2014,2,3,"DeKalb, GA"
5/12/2014,0,4,"Chicago, Il"
5/13/2014,0,5,"Atlanta, GA"
5/17/2014,0,5,"Washington, DC"
5/18/2014,2,2,"Cobb County, GA"
5/18/2014,0,7,"Sandusky, OH"
5/17/2014,1,3,"Coachella, CA"
5/22/2014,1,3,"Dallas, Tx"
5/23/2014,4,8,"Santa Barbara,CA"
5/24/2014,1,3,"Bellflower, CA"
5/24/2014,1,7,"New Orleans, LA"
5/24/2014,0,4,"San Antonio, TX"
5/24/2014,0,5,"Detroit, Mi"
5/25/2014,1,3,"Toledo, OH"
5/25/2014,3,1,"Myrtle Beach, SC"
5/27/2014,0,4,"Norwalk, CA"
5/28/2014,4,0,"Mission Viejo, CA"
5/31/2014,0,4,"Brooklyn, NY"
5/31/2014,1,3,"San Bernardino, CA"
6/1/2014,1,5,"Chicago, Il"
6/1/2014,0,4,"Sacramento, CA"
6/3/2014,1,4,"Atlanta, GA"
6/5/2014,1,3,"Seattle, WA"
6/7/2014,1,4,"Moncks Corner, SC"
6/6/2014,1,3,"Oak Park, MI"
6/8/2014,5,0,"Las Vegas, NV"
6/8/2014,5,0,"San Carlos Park, FL"
6/8/2014,1,4,"Opp, AL"
6/9/2014,3,1,"Chicago, IL"
6/9/2014,0,6,"Paterson, NJ"
6/13/2014,3,1,"Los Angelas, CA"
6/15/2014,0,4,"Kokomo, IN"
6/15/2014,0,4,"Park Forest, IL"
6/20/2014,0,4,"Seat Pleasant, MD"
6/21/2014,0,5,"Memphis, TN"
6/22/2014,1,3,"Windsor, CA"
6/24/2014,2,7,"Miami, FL"
6/25/2014,0,5,"Lowell, MA"
6/26/2014,0,5,"Milwaukee, WI"
6/26/2014,2,2,"Detroit, Mi"
6/28/2014,0,7,"Antioch, CA"
6/29/2014,0,4,"St. Louis, MO"
6/29/2014,1,4,"Los Angeles, CA"
6/29/2014,1,8,"New Orleans, LA"
6/29/2014,1,3,"San Diego, CA"
6/30/2014,1,3,"Lexington, KY"
7/2/2014,0,5,"Chester Township, PA"
7/5/2014,1,4,"Portland, OR"
7/5/2014,0,7,"Norfolk, VA"
7/5/2014,0,4,"Houston, TX"
7/5/2014,0,7,"Broad Ripple, IN"
7/5/2014,0,5,"Centerville, IL"
7/6/2014,0,4,"Buffalo, NY"
7/6/2014,2,2,"Bogalusia, LA"
7/6/2014,0,4,"St Louis, MO"
7/7/2014,0,4,"Stopover, KY"
7/7/2014,2,2,"Miami, FL"
7/8/2014,1,4,"San Bernardino, CA"
7/8/2014,0,5,"Providence, RI"
7/9/2014,6,1,"Houston, TX"
7/12/2014,3,2,"Pasadena, CA"
7/13/2014,1,4,"Sacramento, CA"
7/13/2014,0,5,"Skyline, WA"
7/13/2014,0,5,"Stamford, CT"
7/19/2014,1,4,"Chicago, IL"
7/20/2014,1,3,"St. Louis, MO"
7/20/2014,1,3,"Washington Park, IL"
7/20/2014,1,3,"Las Vegas, NV"
7/20/2014,0,6,"Irvington, NJ"
7/20/2014,1,4,"Kent, WA"
7/21/2014,0,4,"Memphis, TN"
7/22/2014,3,1,"Moreno Valley, CA"
7/23/2014,0,4,"Pittsburgh, PA"
7/25/2014,1,6,"Chicago, IL"
7/26/2014,1,3,"Pine Bluff, AR"
7/26/2014,0,7,"Sylvester, GA"
7/27/2014,0,4,"Kalamazoo, MI"
7/27/2014,5,0,"Saco, ME"
7/28/2014,1,4,"Philadelphia, PA"
7/28/2014,1,3,"New York, NY"
7/31/2014,3,3,"Fayetteville, NC"
8/1/2014,1,3,"Philadelphia, PA"
8/2/2014,3,1,"Dallas, TX"
8/2/2014,1,5,"Pittsburgh, PA"
8/2/2014,0,7,"New Bedford, MA"
8/2/2014,0,4,"Salem City, NJ"
8/3/2014,5,0,"Culpeper, VA"
8/3/2014,0,6,"Houston, TX"
