Title,Author,ISBN,Bookshelves,Date Read
Sunbelt Capitalism: Phoenix and the Transformation of American Politics,Elizabeth Tandy Shermer,9780812244700,Finished reading,""
The Production of Space,Henri Lefebvre,9780631181774,Finished reading,""
Down to Earth: Nature's Role in American History,Ted Steinberg,9780195140101,Finished reading,""
Silent Spring,Rachel Carson,9780618249060,Finished reading,""
"Imperial San Francisco: Urban Power, Earthly Ruin",Gray A. Brechin,9780520215689,Finished reading,""
Citizen Environmentalists,James Longhurst,9781584658597,Finished reading,""
The New Urban Park: Golden Gate National Recreation Area and Civic Environmentalism,Hal K. Rothman,9780700612864,Finished reading,""
Ecotopia,Ernest Callenbach,9780553348477,Finished reading,""
Space And Place: The Perspective of Experience,Yi-Fu Tuan,9780816638772,Finished reading,""
Car Country: An Environmental History,Christopher W. Wells,9780295994291,Finished reading,""
"The Geographical Imagination in America, 1880-1950",Susan Schulten,9780226740560,Finished reading,""
Dispossessing the Wilderness: Indian Removal and the Making of the National Parks,Mark David Spence,9780195142433,Finished reading,""
Wisdom Sits in Places: Landscape and Language Among the Western Apache,Keith H. Basso,9780826317247,Finished reading,""
The Rights of Nature: A History of Environmental Ethics,Roderick Nash,9780299118440,Finished reading,""
Trees in Paradise: A California History,Jared Farmer,9780393078022,Finished reading,""
"The Nature of Borders: Salmon, Boundaries, and Bandits on the Salish Sea",Lissa K. Wadewitz,9780295991825,Finished reading,""
The Bulldozer in the Countryside: Suburban Sprawl and the Rise of American Environmentalism,Adam Rome,9780521804905,Finished reading,""
The Organic Machine: The Remaking of the Columbia River,Richard White,9780809015832,Finished reading,""
A River and Its City: The Nature of Landscape in New Orleans,Ari Kelman,9780520234338,Finished reading,""
"Big Data, Little Data, No Data: Scholarship in the Networked World",Christine L. Borgman,9780262028561,Finished reading,""
Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,9780385480017,Finished reading,""
A Misplaced Massacre: Struggling Over the Memory of Sand Creek,Ari Kelman,9780674045859,Finished reading,""
The Interpretation of Ordinary Landscapes: Geographical Essays,D.W. Meinig,9780195025361,Finished reading,""
The Machine in the Garden: Technology and the Pastoral Ideal in America,Leo Marx,9780195007381,Finished reading,""
Graphesis: Visual Forms of Knowledge Production,Johanna Drucker,9780674724938,Finished reading,""
Crabgrass Crucible: Suburban Nature and the Rise of Environmentalism in Twentieth-Century America,Christopher Sellers,9780807835432,Finished reading,""
The Fruits of Natural Advantage: Making the Industrial Countryside in California,Steven Stoll,9780520211728,Finished reading,""
One Nation Under God: How Corporate America Invented Christian America,Kevin M. Kruse,9780465049493,Finished reading,""
A War for the Soul of America: A History of the Culture Wars,Andrew Hartman,9780226254500,Finished reading,""
Cadillac Desert: The American West and Its Disappearing Water,Marc Reisner,9780140178241,Finished reading,""
D3.js in Action,Elijah Meeks,9781617292118,Finished reading,""
